2597 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star_SN']
LCDM_vanilla	SymA_cool_star_SN
1014	993
1015	None
1016	None
1017	1432
1018	None
1019	1265
1020	3545
1021	1639
1022	905
1023	682
1024	None
1025	1494
1026	1351
1027	1724
1028	None
1029	None
1030	2673
1031	None
1032	None
1033	None
1034	2674
1035	2817
1036	3509
1037	None
1038	None
1039	1150
1040	1833
1041	None
1042	None
1043	1192
1044	1779
1045	1146
1046	1552
1047	None
1048	1235
1049	None
1050	2542
1051	1626
1052	None
1053	3543
1054	1328
1055	1156
1056	1892
1057	None
1058	None
1059	None
1060	None
1061	None
1062	1546
1063	None
1064	2051
1065	2232
1066	None
1067	None
1068	3549
1069	982
1070	None
1071	None
1072	None
1073	1483
1074	1659
1075	1167
1076	1042
1077	None
1078	None
1079	1142
1080	2670
1081	1251
1082	1185
1083	None
1084	None
1085	2363
1086	None
1087	1948
1088	None
1089	2868
1090	5432
1091	1316
1092	1449
1093	650
1094	None
1095	None
1096	None
1097	None
1098	1745
1099	1160
1100	None
1101	None
1102	None
1103	None
1104	None
1105	1374
1106	1174
1107	1296
1108	None
1109	1785
1110	None
1111	None
1112	None
1113	None
1114	1695
1115	None
1116	None
1117	1292
1118	None
1119	1677
1120	None
1121	1282
1122	None
1123	1958
1124	None
1125	1333
1126	1413
1127	3653
1128	None
1129	1665
1130	None
1131	None
1132	None
1133	2306
1134	None
1135	3949
1136	None
1137	1203
1138	None
1139	None
1140	None
1141	None
1142	None
1143	4558
1144	None
1145	None
1146	1941
1147	None
1148	None
1149	3867
1150	1060
1151	None
1152	None
1153	None
1154	None
1155	None
1156	None
1157	None
1158	2982
1159	3820
1160	None
1161	2283
1162	None
1163	None
1164	3422
1165	None
1166	1767
1167	3679
1168	None
1169	1404
1170	3009
1171	None
1172	None
1173	None
1174	None
1175	None
1176	None
1177	None
1178	None
1179	None
1180	None
1181	1412
1182	None
1183	None
1184	None
1185	None
1186	None
1187	None
1188	1271
1189	None
1190	None
1191	None
1192	None
1193	None
1194	None
1195	None
1196	None
1197	None
1198	2094
1199	1728
1200	1526
1201	None
1202	1748
1203	None
1204	2890
1205	None
1206	2027
1207	1622
1208	3091
1209	None
1210	1562
1211	None
1212	None
1213	3571
1214	None
1215	1284
1216	None
1217	None
1218	3901
1219	3627
1220	None
1221	None
1222	None
1223	2713
1224	None
1225	None
1226	None
1227	None
1228	1774
1229	None
1230	None
1231	None
1232	5432
1233	None
1234	3640
1235	None
1236	None
1237	3459
1238	None
1239	None
1240	3117
1241	1984
1242	2238
1243	None
1244	None
1245	2948
1246	None
1247	None
1248	None
1249	3718
1250	None
1251	None
1252	None
1253	None
1254	None
1255	None
1256	2700
1257	None
1258	None
1259	1930
1260	None
1261	None
1262	2791
1263	1389
1264	None
1265	1407
1266	None
1267	None
1268	None
1269	None
1270	None
1271	None
1272	None
1273	None
1274	None
1275	None
1276	None
1277	None
1278	None
1279	2912
1280	None
1281	2283
1282	None
1283	None
1284	None
1285	None
1286	1696
1287	2022
1288	1646
1289	1675
1290	None
1291	1735
1292	None
1293	None
1294	None
1295	1394
1296	None
1297	2927
1298	None
1299	1415
1300	None
1301	None
1302	2540
1303	None
1304	1714
1305	None
1306	None
1307	None
1308	None
1309	None
1310	None
1311	None
1312	1279
1313	None
1314	None
1315	1543
1316	None
1317	None
1318	3352
1319	2666
1320	None
1321	None
1322	None
1323	None
1324	None
1325	2595
1326	3645
1327	2313
1328	None
1329	1637
1330	3157
1331	None
1332	None
1333	None
1334	None
1335	None
1336	1483
1337	1761
1338	1560
1339	2659
1340	1666
1341	3062
1342	3491
1343	None
1344	None
1345	None
1346	None
1347	None
1348	1617
1349	1865
1350	1676
1351	1903
1352	None
1353	1722
1354	None
1355	None
1356	1779
1357	1947
1358	None
1359	1629
1360	3712
1361	1537
1362	None
1363	908
1364	None
