1603 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_DM', '64', '.5', 'match_LCDM_vanilla_SymD_DM']
LCDM_vanilla	SymD_DM
1027	1000
1028	None
1029	None
1030	None
1031	None
1032	None
1033	None
1034	2405
1035	None
1036	2531
1037	None
1038	None
1039	1861
1040	461
1041	None
1042	None
1043	None
1044	2262
1045	None
1046	None
1047	2618
1048	None
1049	None
1050	None
1051	None
1052	None
1053	1820
1054	None
1055	1381
1056	2891
1057	None
1058	None
1059	None
1060	None
1061	None
1062	1626
1063	None
1064	None
1065	None
1066	None
1067	2521
1068	None
1069	None
1070	None
1071	None
1072	None
1073	None
1074	2223
1075	None
1076	None
1077	None
1078	None
1079	None
1080	None
1081	None
1082	None
1083	None
1084	None
1085	None
1086	None
1087	None
1088	None
1089	None
1090	None
1091	None
1092	None
1093	449
1094	None
1095	None
1096	None
1097	1931
1098	None
1099	1594
1100	None
1101	None
1102	None
1103	None
1104	None
1105	None
1106	1352
1107	None
1108	None
1109	None
1110	None
1111	2173
1112	None
1113	None
1114	1530
1115	None
1116	2149
1117	None
1118	None
1119	1301
1120	None
1121	2160
1122	None
1123	None
1124	2405
1125	None
1126	None
1127	None
1128	None
1129	None
1130	None
1131	None
1132	None
1133	None
1134	None
1135	None
1136	None
1137	None
1138	None
1139	None
1140	None
1141	None
1142	2423
1143	None
1144	2484
1145	None
1146	None
1147	None
1148	None
1149	None
1150	None
1151	None
1152	None
1153	None
1154	2393
1155	None
1156	None
1157	None
1158	None
1159	None
1160	None
1161	None
1162	None
1163	2913
1164	1456
1165	None
1166	None
1167	None
1168	None
1169	None
1170	None
1171	1740
1172	None
1173	None
1174	None
1175	None
1176	None
1177	None
1178	None
1179	None
1180	None
1181	1331
1182	None
1183	None
1184	None
1185	2631
1186	None
1187	None
1188	1492
1189	1603
1190	None
1191	None
1192	None
1193	None
1194	None
1195	None
1196	None
1197	None
1198	None
1199	1414
1200	None
1201	None
1202	2356
1203	2652
1204	None
1205	None
1206	None
1207	None
1208	1896
1209	None
1210	1576
1211	1948
1212	None
1213	None
