  6.377405695108340E+015   99999999.0000002     
  6.146503860911729E+015   98172983.0618884     
  5.923962145114058E+015   96379346.9961582     
  5.709477857532733E+015   94618480.9472201     
  5.502759267332275E+015   92889786.2016450     
  5.303525206224564E+015   91192674.9845932     
  5.111504686035854E+015   89526570.2599641     
  4.926436530120676E+015   87890905.5341996     
  4.748069018120624E+015   86285124.6636692     
  4.576159543585193E+015   84708681.6655742     
  4.410474283989288E+015   83161040.5323096     
  4.250787882697926E+015   81641675.0492149     
  4.096883142445907E+015   80150068.6156542     
  3.948550729915784E+015   78685714.0693685     
  3.805588891011774E+015   77248113.5140342     
  3.667803176442588E+015   75836778.1499720     
  3.535006177240248E+015   74451228.1079516     
  3.407017269854439E+015   73090992.2860293     
  3.283662370476468E+015   71755608.1893693     
  3.164773698258086E+015   70444621.7729906     
  3.050189547103286E+015   69157587.2873854     
  2.939754065722963E+015   67894067.1269611     
  2.833317045652821E+015   66653631.6812494     
  2.730733716946394E+015   65435859.1888325     
  2.631864551265512E+015   64240335.5939420     
  2.536575072099989E+015   63066654.4056742     
  2.444735671858600E+015   61914416.5597785     
  2.356221435582698E+015   60783230.2829723     
  2.270911971042412E+015   59672710.9597333     
  2.188691244984456E+015   58582481.0015255     
  2.109447425308983E+015   57512169.7184162     
  2.033072728960508E+015   56461413.1930368     
  1.959463275326199E+015   55429854.1568468     
  1.888518944942203E+015   54417141.8686589     
  1.820143243315612E+015   53422931.9953837     
  1.754243169676959E+015   52446886.4949513     
  1.690729090484845E+015   51488673.5013749     
  1.629514617510398E+015   50547967.2119125     
  1.570516490335879E+015   49624447.7762892     
  1.513654463107704E+015   48717801.1879463     
  1.458851195389640E+015   47827719.1772749     
  1.406032146967826E+015   46953899.1068007     
  1.355125476464628E+015   46096043.8682843     
  1.306061943623252E+015   45253861.7817018     
  1.258774815130268E+015   44427066.4960689     
  1.213199773848086E+015   43615376.8920802     
  1.169274831333661E+015   42818516.9865242     
  1.126940243524716E+015   42036215.8384472     
  1.086138429478601E+015   41268207.4570297     
  1.046813893053316E+015   40514230.7111466     
  1.008913147424278E+015   39774029.2405804     
   972384642333990.        39047351.3688557     
   937178693975752.        38333950.0176661     
   903247417416098.        37633582.6228654     
   870544661463919.        36946011.0519931     
   839025945897750.        36271001.5233065     
   808648400965887.        35608324.5262928     
   779370709076943.        34957754.7436328     
   751153048601586.        34319070.9745905     
   723957039709065.        33692056.0598027     
   697745692164762.        33076496.8074425     
   672483355017804.        32472183.9207313     
   648135668110367.        31878911.9267765     
   624669515342599.        31296479.1067076     
   602052979629675.        30724687.4270901     
   580255299489726.        30163342.4725921     
   559246827203512.        29612253.3798804     
   538998988489050.        29071232.7727258     
   519484243636233.        28540096.6982925     
   500676050048640.        28018664.5645920     
   482548826141595.        27506759.0790807     
   465077916547337.        27004206.1883778     
   448239558579966.        26510835.0190854     
   432010849914626.        26026477.8196901     
   416369717436868.        25550969.9035251     
   401294887219878.        25084149.5927754     
   386765855588744.        24625858.1635055     
   372762861232361.        24175939.7916914     
   359266858325066.        23734241.5002387     
   346259490621470.        23300613.1069693     
   333723066489195.        22874907.1735571     
   321640534845598.        22456978.9553978     
   309995461965754.        22046686.3523941     
   298772009130126.        21643889.8606403     
   287954911081526.        21248452.5249889     
   277529455262106.        20860239.8924850     
   267481461802074.        20479119.9666509     
   257797264232949.        20104963.1626050     
   248463690899149.        19737642.2630026     
   239468047042570.        19377032.3747799     
   230798097535829.        19023010.8866895     
   222442050240683.        18675457.4276108     
   214388539968974.        18334253.8256229     
   206626613024287.        17999284.0678248     
   199145712303310.        17670434.2608895     
   191935662936621.        17347592.5923394     
   184986658449354.        17030649.2925285     
   178289247422966.        16719496.5973199     
   171834320639912.        16414028.7114447     
   165613098693774.        16114141.7725302     
   159617120047988.        15819733.8157861     
   153838229526908.        15530704.7393346     
   148268567223591.        15246956.2701757     
   142900557809167.        14968391.9307726     
   137726900229293.        14694917.0062482     
   132740557773664.        14426438.5121816     
   127934748505062.        14162865.1629920     
   123302936034938.        13904107.3409007     
   118838820632989.        13650077.0654601     
   114536330658607.        13400687.9636395     
   110389614302580.        13155855.2404571     
   106393031627787.        12915495.6501488     
   102541146898082.        12679527.4678644     
   98828721184906.0        12447870.4618791     
   95250705241603.2        12220445.8663149     
   91802232635725.3        11997176.3543589     
   88478613129988.3        11777986.0119712     
   85275326302888.9        11562800.3120738     
   82188015400289.5        11351546.0892100     
   79212481409615.5        11144151.5146679     
   76344677348610.7        10940546.0720574     
   73580702760870.3        10740660.5333344     
   70916798410671.8        10544426.9352617     
   68349341169893.0        10351778.5563018     
   65874839090047.4        10162649.8939300     
   63489926652752.3        9976976.64236321     
   61191360192155.0        9794695.67069543     
   58976013483097.1        9615745.00143212     
   56840873489019.4        9440063.78941761     
   54783036263815.7        9267592.30114691     
   52799703002067.0        9098271.89445558     
   50888176232284.8        8932044.99858097     
   49045856147980.8        8768855.09458744     
   47270237071576.2        8608646.69614926     
   45558904046340.3        8451365.33068472     
   43909529551724.1        8296957.52083492     
   42319870337617.2        8145370.76628076     
   40787764373226.9        7996553.52589235     
   39311127906427.5        7850455.20020451     
   37887952629578.5        7707026.11421231     
   36516302947959.9        7566217.50048107     
   35194313347106.8        7427981.48256494     
   33920185855463.6        7292271.05872833     
   32692187598906.5        7159040.08596490     
   31508648443807.4        7028243.26430837     
   30367958725434.7        6899836.12143003     
   29268567058600.0        6773774.99751776     
   28208978227573.6        6650017.03043113     
   27187751152398.2        6528520.14112785     
   26203496928836.1        6409243.01935646     
