  2.530492973331545E+023   24414354.4489894       -24418282.6551500     
  2.265534213905671E+023   23530498.2042749       -23534411.9852250     
  2.028318327088556E+023   22678634.9893047       -22682534.3450709     
  1.815940457112276E+023   21857606.7681944       -21861491.6988042     
  1.625799905141384E+023   21066297.4219117       -21070167.9273936     
  1.455568282101613E+023   20303631.2310334       -20307487.3114171     
  1.303160996110400E+023   19568571.4134204       -19572413.0687367     
  1.166711725355470E+023   18860118.7148245       -18863945.9451051     
  1.044549563825807E+023   18177310.0505089       -18181122.8557871     
  9.351785600305460E+022   17519217.1960395       -17523015.5763495     
  8.372593981444148E+022   16884945.5254630       -16888729.4808404     
  7.495929972541910E+022   16273632.7951594       -16277402.3256412     
  6.711058278686507E+022   15684447.9717147       -15688203.0773394     
  6.008367658836863E+022   15116590.1022208       -15120330.7830281     
  5.379253230210713E+022   14569287.2254659       -14573013.4814970     
  4.816011096154256E+022   14041795.3225366       -14045507.1538344     
  4.311744007145790E+022   13533397.3054042       -13537094.7120131     
  3.860276899694701E+022   13043402.0421209       -13047085.0240871     
  3.456081278856097E+022   12571143.4173004       -12574811.9746717     
  3.094207518378866E+022   12115979.4266056       -12119633.5594317     
  2.770224249460148E+022   11677291.3040132       -11680931.0123455     
  2.480164095883793E+022   11254482.6806674       -11258107.9645594     
  2.220475091036331E+022   10846978.7741812       -10850589.6336883     
  1.987977181871041E+022   10454225.6072815       -10457822.0424613     
  1.779823287184673E+022   10075689.2547366       -10079271.2656488     
  1.593464433340923E+022   9710855.11754247       -9714422.70424899     
  1.426618540506291E+022   9359227.22338067       -9362780.38594574     
  1.277242477166014E+022   9020327.55239761       -9023866.29088792     
  1.143507040710579E+022   8693695.38738800       -8697219.70187271     
  1.023774557714377E+022   8378886.68749928       -8382396.57805017     
  9.165788296082258E+021   8075473.48460616       -8078968.95129768     
  8.206071781678029E+021   7783043.30153390       -7786524.34444333     
  7.346843709540634E+021   7501198.59134010       -7504665.21054760     
  6.577582298625574E+021   7229556.19689232       -7233008.39248106     
  5.888867465495277E+021   6967746.83000744       -6971184.60206372     
  5.272265469550279E+021   6715414.56944402       -6718837.91805738     
  4.720225636641107E+021   6472216.37706578       -6475625.30232910     
  4.225987896376582E+021   6237821.63151806       -6241216.13352774     
  3.783500000866434E+021   6011911.67878393       -6015291.75763998     
  3.387343411189145E+021   5794179.39900825       -5797545.05481442     
  3.032666944019834E+021   5584328.78900132       -5587680.02186527     
  2.715127365879272E+021   5382074.55985439       -5385411.36988782     
  2.430836207544426E+021   5187141.74912026       -5190464.13643905     
  2.176312147329191E+021   4999265.34703130       -5002573.31175570     
  1.948438380139619E+021   4818189.93624731       -4821483.47850207     
  1.744424450261038E+021   4643669.34464316       -4646948.46455772     
  1.561772080495785E+021   4475466.31066421       -4478731.00837287     
  1.398244579208425E+021   4313352.16079491       -4316602.43643701     
  1.251839450648331E+021   4157106.49870173       -4160342.35242183     
  1.120763873146358E+021   4006516.90562808       -4009738.33757619     
  1.003412744900688E+021   3861378.65163389       -3864585.66196563     
  8.983490285091059E+020   3721494.41728736       -3724687.00616420     
  8.042861535540182E+020   3586674.02543038       -3589852.19301985     
  7.200722617491744E+020   3456734.18265324       -3459897.92912916     
  6.446761017199852E+020   3331498.23012690       -3334647.55566961     
  5.771744006904224E+020   3210795.90345443       -3213930.80825104     
  5.167405584347888E+020   3094463.10121486       -3097583.58545951     
  4.626345250449211E+020   2982341.66188498       -2985447.72577908     
  4.141937385597096E+020   2874279.14883576       -2877370.79258831     
  3.708250114826847E+020   2770128.64311125       -2773205.86693906     
  3.319972668329215E+020   2669748.54370800       -2672811.34783603     
  2.972350347777897E+020   2573002.37508382       -2576050.75974547     
  2.661126302097433E+020   2479758.60163392       -2482792.56707136     
  2.382489399679559E+020   2389890.44888247       -2392909.99534695     
  2.133027558711357E+020   2303275.73114635       -2306280.85889854     
  1.909685964115546E+020   2219796.68543685       -2222787.39474722     
  1.709729659443861E+020   2139339.81137361       -2142316.10252276     
  1.530710055637795E+020   2061795.71689306       -2064757.59017211     
  1.370434946535818E+020   1987058.96954166       -1990006.42525270     
  1.226941663948306E+020   1915027.95315193       -1917960.99160833     
  1.098473043567328E+020   1845604.72970610       -1848523.35123302     
  9.834559073991277E+019   1778694.90620004       -1781599.11113483     
  8.804817992231004E+019   1714207.50632604       -1717097.29501870     
  7.882897371712296E+019   1652054.84680038       -1654930.21961405     
  7.057507722224137E+019   1592152.41816733       -1595013.37547878     
  6.318541635210249E+019   1534418.76991768       -1537265.31211778     
  5.656950012277617E+019   1478775.39976548       -1481607.52725979     
  5.064631253370368E+019   1425146.64693270       -1427964.36014198     
  4.534332047648510E+019   1373459.58929655       -1376262.88865734     
  4.059558552194718E+019   1323643.94425965       -1326432.83022487     
  3.634496870877303E+019   1275631.97320850       -1278406.44624803     
  3.253941859583581E+019   1229358.38943004       -1232118.45003142     
  2.913233385999454E+019   1184760.26936147       -1187505.91803049     
  2.608199263396780E+019   1141776.96705241       -1144508.20431383     
  2.335104159617354E+019   1100350.03172326       -1103066.85812153     
  2.090603855612223E+019   1060423.12830770       -1063125.54440765     
  1.871704293403731E+019   1021941.96087116       -1024629.96725883     
  1.675724911987224E+019   984854.198801437       -987527.796084804     
  1.500265822197854E+019   949109.405670800       -951768.594480645     
  1.343178418578141E+019   914658.970673125       -917303.751663865     
  1.202539068370616E+019   881456.042542742       -884086.416393320     
  1.076625555440707E+019   849455.465865175       -852071.433279975     
  9.638959906712838E+018   818613.719693233       -821215.281403034     
