0	1
0.1	0.818731
0.2	0.67032
0.3	0.548812
0.4	0.449329
0.5	0.367879
0.6	0.301194
0.7	0.246597
0.8	0.201897
0.9	0.165299
1	0.135335
1.1	0.110803
1.2	0.090718
1.3	0.0742736
1.4	0.0608101
1.5	0.0497871
1.6	0.0407622
1.7	0.0333733
1.8	0.0273237
1.9	0.0223708
2	0.0183156
2.1	0.0149956
2.2	0.0122773
2.3	0.0100518
2.4	0.00822975
2.5	0.00673795
2.6	0.00551656
2.7	0.00451658
2.8	0.00369786
2.9	0.00302755
3	0.00247875
3.1	0.00202943
3.2	0.00166156
3.3	0.00136037
3.4	0.00111378
3.5	0.000911882
3.6	0.000746586
3.7	0.000611253
3.8	0.000500451
3.9	0.000409735
4	0.000335463
4.1	0.000274654
4.2	0.000224867
4.3	0.000184106
4.4	0.000150733
4.5	0.00012341
4.6	0.000101039
4.7	8.27241e-05
4.8	6.77287e-05
4.9	5.54516e-05
5	4.53999e-05
5.1	3.71703e-05
5.2	3.04325e-05
5.3	2.4916e-05
5.4	2.03995e-05
5.5	1.67017e-05
5.6	1.36742e-05
5.7	1.11955e-05
5.8	9.16609e-06
5.9	7.50456e-06
6	6.14421e-06
6.1	5.03046e-06
6.2	4.11859e-06
6.3	3.37202e-06
6.4	2.76077e-06
6.5	2.26033e-06
6.6	1.8506e-06
6.7	1.51514e-06
6.8	1.2405e-06
6.9	1.01563e-06
7	8.31529e-07
7.1	6.80798e-07
7.2	5.5739e-07
7.3	4.56353e-07
7.4	3.7363e-07
7.5	3.05902e-07
7.6	2.50452e-07
7.7	2.05052e-07
7.8	1.67883e-07
7.9	1.37451e-07
8	1.12535e-07
8.1	9.2136e-08
8.2	7.54346e-08
8.3	6.17606e-08
8.4	5.05653e-08
8.5	4.13994e-08
8.6	3.38949e-08
8.7	2.77508e-08
8.8	2.27205e-08
8.9	1.86019e-08
9	1.523e-08
9.1	1.24693e-08
9.2	1.0209e-08
9.3	8.35839e-09
9.4	6.84327e-09
9.5	5.6028e-09
9.6	4.58718e-09
9.7	3.75567e-09
9.8	3.07488e-09
9.9	2.5175e-09
10	2.06115e-09
